datetime,game,result,jackpot,winners,latest
2021-10-09T21:00,12,06-08,4000.00,569,false
2021-10-08T21:00,5,49-20-32-15-22-01,168558747.60,0,false
2021-10-08T21:00,6,39-38-05-11-29-41,8976831.80,0,false
2021-10-08T21:00,10,4-9-6-9,16228.00,37,false
2021-10-08T14:00,11,4-3-9,4500.00,246,false
2021-10-08T17:00,11,3-4-0,4500.00,104,false
2021-10-08T21:00,11,0-4-0,4500.00,140,false
2021-10-08T14:00,12,04-24,4000.00,181,false
2021-10-08T17:00,12,10-09,4000.00,362,false
2021-10-08T21:00,12,20-09,4000.00,392,false
2021-10-07T21:00,7,27-33-20-15-25-21,67048032.00,0,false
2021-10-07T21:00,1,17-13-37-38-07-09,10747777.00,0,false
2021-10-07T21:00,9,9-9-5-0-6-1,1663253.02,0,false
2021-10-07T14:00,11,9-2-2,4500.00,386,false
2021-10-07T17:00,11,2-4-8,4500.00,188,false
2021-10-07T21:00,11,1-6-5,4500.00,347,false
2021-10-07T14:00,12,20-01,4000.00,92,false
2021-10-07T17:00,12,09-09,4000.00,468,false
2021-10-07T21:00,12,06-16,4000.00,317,false
2021-10-06T21:00,8,08-33-39-55-10-28,46697535.60,0,false
2021-10-06T21:00,6,06-41-35-34-07-38,8910000.00,0,false
2021-10-06T21:00,10,5-1-6-7,16963.00,36,false
2021-10-06T14:00,11,8-2-9,4500.00,340,false
2021-10-06T17:00,11,2-5-8,4500.00,279,false
2021-10-06T21:00,11,7-9-3,4500.00,290,false
2021-10-06T14:00,12,03-22,4000.00,235,false
2021-10-06T17:00,12,17-27,4000.00,85,false
2021-10-06T21:00,12,04-03,4000.00,461,false
2021-10-05T21:00,5,45-41-02-42-48-03,161054996.40,0,false
2021-10-05T21:00,7,43-47-02-12-48-34,62477250.20,0,false
2021-10-05T21:00,1,18-10-24-36-15-27,7957175.40,0,false
2021-10-05T21:00,9,2-3-5-1-9-2,1290526.72,0,false
2021-10-05T14:00,11,9-3-8,4500.00,128,false
2021-10-05T17:00,11,1-6-1,4500.00,323,false
2021-10-05T21:00,11,3-5-9,4500.00,377,false
2021-10-05T14:00,12,08-10,4000.00,281,false
2021-10-05T17:00,12,10-18,4000.00,300,false
2021-10-05T21:00,12,30-20,4000.00,95,false
2021-10-04T21:00,8,03-16-38-29-55-26,43028590.00,0,false
2021-10-04T21:00,6,34-22-06-38-02-19,8910000.00,0,false
2021-10-04T21:00,10,4-2-9-5,71949.00,10,false
2021-10-04T14:00,11,3-6-9,4500.00,390,false
